,problem,expected_answer,gpt4_answer,is_correct
110,"Question: What is fifty-four minus seventy-three?
Answer:",-19,-19,True
111,"Question: What is twenty-eight minus sixty-seven?
Answer:",-39,-39,True
112,"Question: What is fifty-five minus zero?
Answer:",55,55,True
113,"Question: What is twenty-six minus sixty-four?
Answer:",-38,-38,True
114,"Question: What is sixteen minus seventy-two?
Answer:",-56,-56,True
115,"Question: What is forty-two minus seventy-eight?
Answer:",-36,-36,True
116,"Question: What is sixty-one minus fifty?
Answer:",11,11,True
117,"Question: What is twenty-seven minus thirty-eight?
Answer:",-11,-11,True
118,"Question: What is ninety-three minus seventy-eight?
Answer:",15,15,True
119,"Question: What is forty-four minus fifty-five?
Answer:",-11,-11,True
120,"Question: What is fourteen minus eighty-five?
Answer:",-71,-71,True
121,"Question: What is zero minus twenty-seven?
Answer:",-27,-27,True
122,"Question: What is nineteen minus forty-one?
Answer:",-22,-22,True
123,"Question: What is eighty-seven minus ninety-seven?
Answer:",-10,-10,True
124,"Question: What is sixty-nine minus fifty-seven?
Answer:",12,12,True
125,"Question: What is sixteen minus nineteen?
Answer:",-3,-3,True
126,"Question: What is seventy-seven minus nineteen?
Answer:",58,58,True
127,"Question: What is twenty-six minus seventy-three?
Answer:",-47,-47,True
128,"Question: What is nineteen minus five?
Answer:",14,14,True
129,"Question: What is thirty-two minus two?
Answer:",30,30,True
130,"Question: What is seven minus ninety-five?
Answer:",-88,-88,True
131,"Question: What is thirty-four minus fifty-seven?
Answer:",-23,-23,True
132,"Question: What is eighteen minus eighty-four?
Answer:",-66,-66,True
133,"Question: What is ninety-five minus four?
Answer:",91,91,True
134,"Question: What is thirty-two minus sixty-six?
Answer:",-34,-34,True
135,"Question: What is twenty-four minus forty-four?
Answer:",-20,-20,True
136,"Question: What is twenty-seven minus seventy-three?
Answer:",-46,-46,True
137,"Question: What is thirteen minus twenty-three?
Answer:",-10,-10,True
138,"Question: What is seventy-nine minus fifty-nine?
Answer:",20,20,True
139,"Question: What is sixty-eight minus twenty-three?
Answer:",45,45,True
140,"Question: What is ninety-two minus twenty-five?
Answer:",67,67,True
141,"Question: What is ninety-six minus fifty-four?
Answer:",42,42,True
142,"Question: What is eighteen minus thirty-two?
Answer:",-14,-14,True
143,"Question: What is ninety-three minus sixty-eight?
Answer:",25,25,True
144,"Question: What is thirty minus sixty?
Answer:",-30,-30,True
145,"Question: What is seventy-nine minus sixty-four?
Answer:",15,15,True
146,"Question: What is fifty minus ninety-three?
Answer:",-43,-43,True
147,"Question: What is eighty-eight minus eighty-four?
Answer:",4,4,True
148,"Question: What is forty-four minus one?
Answer:",43,43,True
149,"Question: What is thirteen minus sixty-five?
Answer:",-52,-52,True
150,"Question: What is forty-one minus eighty?
Answer:",-39,-39,True
151,"Question: What is forty-eight minus one?
Answer:",47,47,True
152,"Question: What is seven minus forty-eight?
Answer:",-41,-41,True
153,"Question: What is eighty-six minus thirty-five?
Answer:",51,51,True
154,"Question: What is six minus zero?
Answer:",6,6,True
155,"Question: What is thirty minus fifteen?
Answer:",15,15,True
156,"Question: What is thirty-four minus fifty-nine?
Answer:",-25,-25,True
157,"Question: What is twenty-eight minus forty-three?
Answer:",-15,-15,True
158,"Question: What is seventeen minus three?
Answer:",14,14,True
159,"Question: What is forty-six minus seventy-six?
Answer:",-30,-30,True
160,"Question: What is ninety-three minus ninety-two?
Answer:",1,1,True
161,"Question: What is sixty-two minus seventeen?
Answer:",45,45,True
162,"Question: What is ninety-eight minus eighty?
Answer:",18,18,True
163,"Question: What is seventy-five minus twelve?
Answer:",63,63,True
164,"Question: What is seventy-one minus fifty-two?
Answer:",19,19,True
165,"Question: What is thirty-three minus twenty-five?
Answer:",8,8,True
166,"Question: What is ninety-four minus seventy-three?
Answer:",21,21,True
167,"Question: What is ninety-three minus eleven?
Answer:",82,82,True
168,"Question: What is forty-three minus thirty-four?
Answer:",9,9,True
169,"Question: What is two minus eighty-two?
Answer:",-80,-80,True
170,"Question: What is fifty minus ninety-one?
Answer:",-41,-41,True
171,"Question: What is twenty-eight minus twenty-six?
Answer:",2,2,True
172,"Question: What is eighty minus seventy-two?
Answer:",8,8,True
173,"Question: What is eighty-five minus ninety-six?
Answer:",-11,-11,True
174,"Question: What is thirty-five minus seventy-eight?
Answer:",-43,-43,True
175,"Question: What is two minus fifty?
Answer:",-48,-48,True
176,"Question: What is eleven minus sixty-four?
Answer:",-53,-53,True
177,"Question: What is ninety-nine minus ninety-one?
Answer:",8,8,True
178,"Question: What is eighteen minus seventy-four?
Answer:",-56,-56,True
179,"Question: What is eighteen minus zero?
Answer:",18,18,True
180,"Question: What is seventy-one minus ninety-five?
Answer:",-24,-24,True
181,"Question: What is seventy-one minus thirty-nine?
Answer:",32,32,True
182,"Question: What is seventy-one minus ninety-eight?
Answer:",-27,-27,True
183,"Question: What is seventy minus thirty?
Answer:",40,40,True
184,"Question: What is seventy-nine minus fifty-eight?
Answer:",21,21,True
185,"Question: What is ninety-five minus forty-nine?
Answer:",46,46,True
186,"Question: What is twenty-six minus five?
Answer:",21,21,True
187,"Question: What is eleven minus thirty-five?
Answer:",-24,-24,True
188,"Question: What is forty-four minus seventy-nine?
Answer:",-35,-35,True
189,"Question: What is sixty minus fifty-four?
Answer:",6,6,True
190,"Question: What is thirty-three minus thirty-six?
Answer:",-3,-3,True
191,"Question: What is thirty-seven minus one?
Answer:",36,36,True
192,"Question: What is sixty-six minus thirteen?
Answer:",53,53,True
193,"Question: What is eighty-eight minus five?
Answer:",83,83,True
194,"Question: What is sixty-one minus ninety-five?
Answer:",-34,-34,True
195,"Question: What is eighteen minus eighty-one?
Answer:",-63,-63,True
196,"Question: What is thirty-eight minus twenty-two?
Answer:",16,16,True
197,"Question: What is sixty-nine minus twenty-one?
Answer:",48,48,True
198,"Question: What is seventy-seven minus ninety-one?
Answer:",-14,-14,True
199,"Question: What is eighteen minus twenty-two?
Answer:",-4,-4,True
