problem,expected_answer,gpt4_answer,is_correct
"Question: What is fifty-two times thirty-two?
Answer:",1664,1664,True
"Question: What is two times eighty-eight?
Answer:",176,176,True
"Question: What is forty-eight times thirteen?
Answer:",624,624,True
"Question: What is ninety-two times fifty-eight?
Answer:",5336,5336,True
"Question: What is six times sixty?
Answer:",360,360,True
"Question: What is sixteen times ninety-seven?
Answer:",1552,1552,True
"Question: What is fifty-three times eighty-eight?
Answer:",4664,4664,True
"Question: What is ninety-seven times sixty-six?
Answer:",6402,6402,True
"Question: What is sixty-nine times sixty?
Answer:",4140,4140,True
"Question: What is ten times fifty-two?
Answer:",520,520,True
"Question: What is seventy-two times forty-five?
Answer:",3240,3240,True
"Question: What is nineteen times fifty-two?
Answer:",988,988,True
"Question: What is ninety-five times seventeen?
Answer:",1615,1615,True
"Question: What is seventy-two times forty-eight?
Answer:",3456,3456,True
"Question: What is forty-four times eighty-nine?
Answer:",3916,3916,True
"Question: What is seven times eighteen?
Answer:",126,126,True
"Question: What is sixty-three times fifty-six?
Answer:",3528,3528,True
"Question: What is sixty-three times twenty-one?
Answer:",1323,1323,True
"Question: What is twenty-four times four?
Answer:",96,96,True
"Question: What is seventy-eight times seventy?
Answer:",5460,5460,True
"Question: What is ninety-three times sixteen?
Answer:",1488,1488,True
"Question: What is thirty-nine times seventy-five?
Answer:",2925,2925,True
"Question: What is eighty-four times five?
Answer:",420,420,True
"Question: What is forty-two times eighty-one?
Answer:",3402,3402,True
"Question: What is seventy-one times seventy-six?
Answer:",5396,5396,True
"Question: What is forty-six times ninety-four?
Answer:",4324,4324,True
"Question: What is twenty-four times forty-six?
Answer:",1104,1104,True
"Question: What is fifty-eight times eighty-five?
Answer:",4930,4930,True
"Question: What is six times thirty-four?
Answer:",204,204,True
"Question: What is ninety times seventy-three?
Answer:",6570,6570,True
"Question: What is eighty-two times twelve?
Answer:",984,984,True
"Question: What is seventy-nine times ninety-three?
Answer:",7347,7347,True
"Question: What is eighty-one times ninety?
Answer:",7290,7290,True
"Question: What is eighty-one times twenty-seven?
Answer:",2187,2187,True
"Question: What is seven times ninety-one?
Answer:",637,637,True
"Question: What is ninety-seven times eighty-two?
Answer:",7954,7954,True
"Question: What is sixty-eight times thirty-eight?
Answer:",2584,2584,True
"Question: What is fifty-four times eighty-five?
Answer:",4590,4590,True
"Question: What is fifteen times twenty-three?
Answer:",345,345,True
"Question: What is fourteen times ninety-eight?
Answer:",1372,1372,True
"Question: What is thirty-seven times forty-one?
Answer:",1517,1517,True
"Question: What is forty-eight times nine?
Answer:",432,432,True
"Question: What is fifty times forty-seven?
Answer:",2350,2350,True
"Question: What is five times ninety?
Answer:",450,450,True
"Question: What is eighty times eighteen?
Answer:",1440,1440,True
